1:13:30 21/03/2020:Bern:37
2:04:30 21/03/2020:Lisbon:36
3:00:30 22/03/2020:Berlin:23
4:14:40 21/03/2020:Baku:23
5:16:20 21/03/2020:Skopje:35
6:06:20 21/03/2020:Berlin:24
7:17:30 21/03/2020:Amsterdam:31
8:06:40 21/03/2020:Zagreb:28
9:05:30 21/03/2020:Berlin:28
10:19:30 21/03/2020:Zagreb:32
11:09:30 21/03/2020:Warsaw:35
12:09:40 21/03/2020:Zagreb:29
13:07:20 21/03/2020:Paris:34
14:12:20 21/03/2020:Baku:20
15:09:20 21/03/2020:Belgrade:37
16:22:30 21/03/2020:Madrid:39
17:21:40 21/03/2020:Berlin:36
18:12:40 21/03/2020:Madrid:36
19:07:10 21/03/2020:Skopje:36
20:08:20 21/03/2020:Rome:30
20:20:40 21/03/2020:Oslo:22
21:03:30 21/03/2020:Riga:30
22:04:30 21/03/2020:Belgrade:38
23:20:10 21/03/2020:Vienna:31
24:20:20 21/03/2020:Amsterdam:26
25:05:10 21/03/2020:Paris:37
26:05:30 21/03/2020:Moscow:23
27:19:40 21/03/2020:Vienna:25
28:13:10 21/03/2020:Riga:31
29:00:30 22/03/2020:Madrid:32
30:02:20 21/03/2020:Bucharest:34
31:03:30 21/03/2020:Bucharest:21
32:12:20 21/03/2020:Moscow:35
33:11:40 21/03/2020:Berlin:39
34:21:40 21/03/2020:Amsterdam:31
35:00:20 22/03/2020:Stockholm:29
36:00:10 22/03/2020:Minsk:36
37:05:30 21/03/2020:Paris:22
38:10:10 21/03/2020:Lisbon:28
39:17:40 21/03/2020:Stockholm:32
40:11:10 21/03/2020:Copenhagen:24
41:23:30 21/03/2020:Bern:36
42:14:30 21/03/2020:Warsaw:38
43:17:20 21/03/2020:Paris:23
44:13:20 21/03/2020:Zagreb:38
45:22:10 21/03/2020:Podgorica:27
46:08:10 21/03/2020:Paris:25
47:20:20 21/03/2020:Vilnius:27
48:05:30 21/03/2020:Riga:31
49:08:30 21/03/2020:Rome:26
50:21:20 21/03/2020:Warsaw:36
51:14:20 21/03/2020:Baku:21
52:23:30 21/03/2020:Athens:30
53:14:20 21/03/2020:Athens:23
54:15:10 21/03/2020:Helsinki:26
55:07:30 21/03/2020:Oslo:22
56:03:30 21/03/2020:Vienna:25
57:10:30 21/03/2020:Budapest:38
58:05:20 21/03/2020:Moscow:38
59:03:20 21/03/2020:Riga:39
60:21:10 21/03/2020:Bucharest:33
61:10:40 21/03/2020:Warsaw:35
62:17:20 21/03/2020:London:25
63:03:10 21/03/2020:Baku:35
64:03:30 21/03/2020:Vienna:39
65:03:20 21/03/2020:Warsaw:37
66:13:20 21/03/2020:Zagreb:24
67:11:20 21/03/2020:Moscow:20
68:19:20 21/03/2020:Minsk:36
69:13:30 21/03/2020:Bern:25
70:15:30 21/03/2020:Skopje:32
71:04:40 21/03/2020:Budapest:20
72:19:10 21/03/2020:Budapest:39
73:17:20 21/03/2020:Paris:27
74:20:40 21/03/2020:Bucharest:30
75:03:40 21/03/2020:Paris:28
76:08:10 21/03/2020:Copenhagen:26
77:15:10 21/03/2020:Baku:38
78:00:20 22/03/2020:Lisbon:29
79:07:20 21/03/2020:Vilnius:33
80:14:20 21/03/2020:Oslo:30
81:22:20 21/03/2020:Baku:27
82:04:30 21/03/2020:Vienna:23
83:15:10 21/03/2020:Madrid:35
84:18:30 21/03/2020:Budapest:20
85:10:30 21/03/2020:Paris:27
86:14:20 21/03/2020:Rome:23
87:14:30 21/03/2020:Vienna:23
88:17:30 21/03/2020:Podgorica:38
89:13:20 21/03/2020:Madrid:38
90:17:10 21/03/2020:Bucharest:39
91:12:40 21/03/2020:Skopje:34
92:05:40 21/03/2020:Vienna:37
93:06:10 21/03/2020:Rome:20
94:07:10 21/03/2020:Madrid:28
95:14:10 21/03/2020:Lisbon:22
96:22:20 21/03/2020:Vilnius:33
97:12:30 21/03/2020:Bucharest:30
98:21:30 21/03/2020:Amsterdam:24
99:03:20 21/03/2020:Oslo:23
100:02:20 21/03/2020:London:34
101:16:20 21/03/2020:Moscow:33
102:16:30 21/03/2020:Athens:24
103:07:10 21/03/2020:Oslo:34
104:09:10 21/03/2020:Bucharest:32
105:19:10 21/03/2020:Rome:36
106:14:10 21/03/2020:Paris:26
107:04:30 21/03/2020:Moscow:20
108:03:20 21/03/2020:Rome:20
109:08:40 21/03/2020:Skopje:22
110:18:20 21/03/2020:Moscow:20
111:09:30 21/03/2020:Minsk:29
112:14:30 21/03/2020:Bern:26
113:09:30 21/03/2020:Brussels:35
114:18:40 21/03/2020:Rome:23
115:18:30 21/03/2020:Athens:30
116:10:40 21/03/2020:Helsinki:29
117:23:20 21/03/2020:Vilnius:37
118:02:10 21/03/2020:Bucharest:21
119:20:40 21/03/2020:Athens:33
120:11:20 21/03/2020:Athens:27
121:17:40 21/03/2020:Vienna:28
122:21:10 21/03/2020:Copenhagen:25
123:19:10 21/03/2020:Oslo:39
124:16:10 21/03/2020:Skopje:32
125:11:30 21/03/2020:Podgorica:26
126:07:30 21/03/2020:Lisbon:24
127:10:10 21/03/2020:Vienna:30
128:15:30 21/03/2020:Brussels:35
129:12:40 21/03/2020:Amsterdam:33
130:14:30 21/03/2020:Bern:20
131:06:40 21/03/2020:Amsterdam:30
132:11:20 21/03/2020:Oslo:31
133:02:30 21/03/2020:Amsterdam:36
134:23:40 21/03/2020:London:36
135:18:40 21/03/2020:Brussels:29
136:23:30 21/03/2020:Bucharest:24
137:05:40 21/03/2020:Bucharest:34
138:00:10 22/03/2020:Helsinki:25
139:00:30 22/03/2020:Brussels:20
140:10:40 21/03/2020:Zagreb:29
141:07:10 21/03/2020:Belgrade:38
142:12:10 21/03/2020:Riga:28
143:10:40 21/03/2020:Riga:38
144:04:10 21/03/2020:Baku:21
145:05:20 21/03/2020:Bern:35
146:19:30 21/03/2020:Skopje:32
147:07:40 21/03/2020:Amsterdam:32
148:02:40 21/03/2020:Vilnius:34
149:03:10 21/03/2020:Madrid:30
150:16:40 21/03/2020:Moscow:29
151:22:40 21/03/2020:Athens:30
152:17:10 21/03/2020:Minsk:30
153:03:30 21/03/2020:London:21
154:23:10 21/03/2020:Bern:21
155:16:40 21/03/2020:Brussels:26
156:15:40 21/03/2020:Berlin:35
157:12:30 21/03/2020:Helsinki:27
158:08:10 21/03/2020:Madrid:24
159:23:20 21/03/2020:Riga:32
160:15:30 21/03/2020:Athens:35
161:03:40 21/03/2020:Paris:33
162:09:40 21/03/2020:Podgorica:27
163:14:40 21/03/2020:Vienna:36
164:16:10 21/03/2020:Riga:20
165:19:20 21/03/2020:Berlin:36
166:22:10 21/03/2020:Oslo:27
167:16:40 21/03/2020:Moscow:26
168:18:10 21/03/2020:Riga:21
169:23:20 21/03/2020:Budapest:37
170:00:10 22/03/2020:Oslo:31
171:13:40 21/03/2020:Copenhagen:36
172:05:20 21/03/2020:Amsterdam:23
173:19:30 21/03/2020:Budapest:22
174:00:10 22/03/2020:Paris:35
175:14:40 21/03/2020:Madrid:28
176:18:10 21/03/2020:Baku:39
177:12:10 21/03/2020:Vilnius:29
178:21:30 21/03/2020:Paris:20
179:20:30 21/03/2020:Bern:20
180:15:30 21/03/2020:Berlin:36
181:08:40 21/03/2020:Athens:39
182:19:30 21/03/2020:Athens:27
183:11:10 21/03/2020:Lisbon:22
184:22:20 21/03/2020:Bern:38
185:23:30 21/03/2020:Budapest:30
186:13:10 21/03/2020:Berlin:21
187:09:30 21/03/2020:Rome:22
188:14:20 21/03/2020:Moscow:24
189:00:20 22/03/2020:Copenhagen:32
190:18:30 21/03/2020:Warsaw:31
191:12:10 21/03/2020:Bern:21
192:09:10 21/03/2020:Madrid:29
193:07:40 21/03/2020:Minsk:20
194:15:20 21/03/2020:Budapest:27
195:13:40 21/03/2020:Rome:21
196:00:30 22/03/2020:Oslo:36
197:12:40 21/03/2020:Rome:38
198:07:10 21/03/2020:Bern:20
199:21:30 21/03/2020:Berlin:38
200:11:10 21/03/2020:Oslo:34
201:08:40 21/03/2020:Lisbon:34
202:17:40 21/03/2020:Rome:39
203:15:20 21/03/2020:Vilnius:27
204:11:30 21/03/2020:Podgorica:27
205:00:30 22/03/2020:Bucharest:20
206:09:30 21/03/2020:Lisbon:29
207:08:20 21/03/2020:Skopje:29
208:19:30 21/03/2020:Madrid:34
209:21:20 21/03/2020:Bucharest:23
210:02:20 21/03/2020:Zagreb:20
211:11:40 21/03/2020:Berlin:37
212:00:40 22/03/2020:Rome:37
213:20:30 21/03/2020:Helsinki:28
214:08:30 21/03/2020:Vienna:26
215:18:30 21/03/2020:Skopje:29
216:10:10 21/03/2020:Belgrade:34
217:20:40 21/03/2020:Madrid:32
218:12:20 21/03/2020:Moscow:32
219:20:40 21/03/2020:Helsinki:36
220:14:10 21/03/2020:Skopje:35
221:14:20 21/03/2020:Copenhagen:32
222:23:40 21/03/2020:Oslo:21
223:10:10 21/03/2020:Bucharest:21
224:17:40 21/03/2020:Baku:33
225:00:10 22/03/2020:Stockholm:29
226:12:40 21/03/2020:Amsterdam:38
227:22:10 21/03/2020:Warsaw:25
228:19:30 21/03/2020:Bern:31
229:11:30 21/03/2020:Helsinki:22
230:08:30 21/03/2020:Warsaw:31
231:20:10 21/03/2020:Athens:21
232:18:20 21/03/2020:Athens:20
233:23:10 21/03/2020:Minsk:32
234:04:40 21/03/2020:London:32
235:07:10 21/03/2020:Athens:38
236:07:10 21/03/2020:Bucharest:39
237:12:10 21/03/2020:Skopje:31
